gender,age,category,quantity,price
Female,28,Clothing,5,1500.4
Male,21,Shoes,3,1800.51
Male,20,Clothing,1,300.08
Female,66,Shoes,5,3000.85
Female,53,Books,4,60.6
Female,28,Clothing,5,1500.4
Female,49,Cosmetics,1,40.66
Female,32,Clothing,2,600.16
Male,69,Clothing,3,900.24
Female,60,Clothing,2,600.16
Female,36,Food & Beverage,2,10.46
Female,29,Books,1,15.15
Female,67,Toys,4,143.36
Male,25,Clothing,2,600.16
Female,67,Clothing,2,600.16
Male,24,Shoes,5,3000.85
Male,65,Books,2,30.3
Female,42,Food & Beverage,3,15.69
Female,46,Clothing,2,600.16
Male,24,Toys,4,143.36
Male,23,Clothing,1,300.08
Female,27,Food & Beverage,1,5.23
Male,52,Clothing,2,600.16
Male,44,Technology,5,5250
Female,42,Books,5,75.75
Male,51,Toys,2,71.68
Female,25,Cosmetics,5,203.3
Male,50,Shoes,4,2400.68
Female,65,Shoes,3,1800.51
Male,29,Cosmetics,3,121.98
Female,66,Toys,3,107.52
Male,23,Clothing,1,300.08
Female,32,Shoes,3,1800.51
Male,51,Clothing,4,1200.32
Female,66,Shoes,4,2400.68
Male,68,Food & Beverage,1,5.23
Male,43,Clothing,5,1500.4
Female,59,Clothing,2,600.16
Male,54,Clothing,2,600.16
Male,24,Clothing,1,300.08
Female,49,Food & Beverage,3,15.69
Male,67,Cosmetics,2,81.32
Female,48,Cosmetics,3,121.98
Female,40,Shoes,4,2400.68
Female,41,Shoes,3,1800.51
Male,46,Books,5,75.75
Female,19,Cosmetics,3,121.98
Female,43,Clothing,4,1200.32
Male,18,Cosmetics,3,121.98
Female,22,Books,5,75.75
Female,61,Cosmetics,5,203.3
Female,41,Books,3,45.45
Female,53,Cosmetics,2,81.32
Female,43,Technology,4,4200
Female,45,Food & Beverage,3,15.69
Female,29,Clothing,1,300.08
Male,43,Toys,2,71.68
Female,19,Clothing,4,1200.32
Female,67,Food & Beverage,3,15.69
Female,36,Books,4,60.6
Male,64,Clothing,5,1500.4
Female,33,Clothing,1,300.08
Female,33,Clothing,4,1200.32
Male,66,Clothing,4,1200.32
Female,29,Cosmetics,4,162.64
Male,22,Toys,3,107.52
Female,63,Food & Beverage,3,15.69
Female,24,Souvenir,5,58.65
Female,24,Cosmetics,5,203.3
Female,44,Technology,5,5250
Male,34,Shoes,5,3000.85
Female,47,Cosmetics,4,162.64
Male,38,Food & Beverage,5,26.15
Female,57,Shoes,5,3000.85
Male,67,Toys,3,107.52
Male,41,Souvenir,3,35.19
Female,40,Clothing,5,1500.4
Female,69,Shoes,4,2400.68
Female,47,Food & Beverage,5,26.15
Female,53,Food & Beverage,4,20.92
Male,40,Toys,2,71.68
Male,60,Cosmetics,4,162.64
Male,30,Souvenir,2,23.46
Female,66,Clothing,2,600.16
Male,22,Food & Beverage,1,5.23
Male,53,Food & Beverage,2,10.46
Female,52,Clothing,5,1500.4
Male,26,Shoes,5,3000.85
Male,66,Food & Beverage,1,5.23
Male,65,Clothing,4,1200.32
Female,43,Technology,2,2100
Female,59,Toys,1,35.84
Female,30,Souvenir,5,58.65
Female,25,Cosmetics,2,81.32
Female,29,Toys,3,107.52
Female,19,Clothing,2,600.16
Male,62,Clothing,5,1500.4
Male,39,Food & Beverage,3,15.69
Female,33,Clothing,3,900.24
Female,26,Food & Beverage,4,20.92
Male,43,Technology,3,3150
Female,40,Food & Beverage,3,15.69
Male,55,Clothing,4,1200.32
Female,24,Clothing,5,1500.4
Male,24,Cosmetics,1,40.66
Female,30,Food & Beverage,5,26.15
Male,34,Clothing,5,1500.4
Female,64,Clothing,5,1500.4
Female,57,Clothing,5,1500.4
Male,18,Cosmetics,4,162.64
Female,26,Clothing,4,1200.32
Female,19,Food & Beverage,3,15.69
Female,22,Books,3,45.45
Male,48,Clothing,1,300.08
Female,56,Souvenir,5,58.65
Male,35,Clothing,2,600.16
Female,60,Toys,4,143.36
Female,32,Clothing,1,300.08
Male,27,Clothing,4,1200.32
Female,56,Clothing,2,600.16
Male,35,Cosmetics,4,162.64
Female,68,Clothing,1,300.08
Female,64,Technology,2,2100
Female,60,Toys,4,143.36
Male,64,Toys,5,179.2
Female,41,Clothing,3,900.24
Male,30,Food & Beverage,5,26.15
Male,40,Clothing,1,300.08
Female,29,Clothing,2,600.16
Male,25,Clothing,3,900.24
Female,60,Clothing,4,1200.32
Female,42,Food & Beverage,5,26.15
Male,54,Food & Beverage,1,5.23
Female,50,Clothing,5,1500.4
Male,54,Clothing,1,300.08
Female,45,Books,4,60.6
Female,40,Cosmetics,1,40.66
Male,24,Books,3,45.45
Male,40,Clothing,4,1200.32
Female,32,Technology,2,2100
Female,28,Clothing,3,900.24
Female,22,Toys,1,35.84
Female,21,Clothing,1,300.08
Female,31,Clothing,2,600.16
Female,61,Food & Beverage,3,15.69
Female,67,Cosmetics,2,81.32
Male,52,Shoes,5,3000.85
Male,44,Clothing,4,1200.32
Female,48,Food & Beverage,2,10.46
Female,53,Food & Beverage,3,15.69
Male,27,Toys,4,143.36
Female,28,Cosmetics,4,162.64
Female,43,Toys,4,143.36
Male,54,Souvenir,5,58.65
Male,41,Food & Beverage,5,26.15
Female,59,Cosmetics,5,203.3
Female,32,Clothing,1,300.08
Female,41,Souvenir,5,58.65
Female,30,Technology,3,3150
Male,22,Clothing,1,300.08
Female,51,Clothing,4,1200.32
Female,23,Food & Beverage,2,10.46
Male,40,Toys,2,71.68
Male,37,Clothing,5,1500.4
Female,24,Clothing,1,300.08
Male,22,Food & Beverage,1,5.23
Female,61,Cosmetics,4,162.64
Female,25,Food & Beverage,2,10.46
Female,66,Souvenir,5,58.65
Female,59,Shoes,1,600.17
Male,38,Clothing,4,1200.32
Male,34,Toys,2,71.68
Female,26,Clothing,1,300.08
Female,59,Souvenir,5,58.65
Female,53,Toys,1,35.84
Male,23,Cosmetics,4,162.64
Female,23,Clothing,5,1500.4
Female,66,Technology,3,3150
Female,56,Cosmetics,4,162.64
Female,38,Souvenir,2,23.46
Male,28,Clothing,3,900.24
Female,44,Food & Beverage,1,5.23
Female,26,Food & Beverage,4,20.92
Female,41,Cosmetics,4,162.64
Male,50,Clothing,4,1200.32
Female,23,Cosmetics,3,121.98
Female,31,Cosmetics,4,162.64
Male,26,Cosmetics,5,203.3
Female,56,Food & Beverage,3,15.69
Female,34,Toys,4,143.36
Female,29,Clothing,2,600.16
Female,20,Clothing,1,300.08
Female,54,Cosmetics,3,121.98
Male,40,Clothing,4,1200.32
Male,40,Cosmetics,5,203.3
Male,21,Books,4,60.6
Female,32,Technology,2,2100
Male,47,Clothing,3,900.24
Female,41,Souvenir,3,35.19
Male,33,Cosmetics,5,203.3
Female,67,Souvenir,2,23.46
Male,37,Cosmetics,3,121.98
Female,38,Toys,1,35.84
Male,28,Shoes,5,3000.85
Female,38,Books,1,15.15
Female,56,Cosmetics,1,40.66
Male,25,Books,3,45.45
Male,66,Books,5,75.75
Female,37,Souvenir,2,23.46
Female,19,Food & Beverage,2,10.46
Female,53,Clothing,5,1500.4
Female,69,Shoes,1,600.17
Male,69,Clothing,5,1500.4
Female,31,Food & Beverage,2,10.46
Male,39,Books,5,75.75
Male,53,Shoes,5,3000.85
Male,26,Cosmetics,2,81.32
Male,63,Food & Beverage,3,15.69
Female,34,Clothing,5,1500.4
Male,25,Food & Beverage,1,5.23
